timestamp,device,out_channels,mode,frequency_hz,amplitude_dbfs,L_rms_dbfs,R_rms_dbfs,L_peak_dbfs,R_peak_dbfs,L_crest,R_crest,balance_db,L_thd_pct,R_thd_pct,L_xtalk_dbfs,R_xtalk_dbfs
2026-03-16T13:14:42,turquoise_orange,"3,4",L_only,20.0,-6,-33.92,-43.59,-33.8,-43.19,1.014,1.047,9.666,66.197,179.419,,-120.6
2026-03-16T13:14:44,turquoise_orange,"3,4",R_only,20.0,-6,-33.92,-43.55,-33.8,-43.19,1.014,1.043,9.634,128.302,177.853,-117.94,
2026-03-16T13:14:46,turquoise_orange,"3,4",both,20.0,-6,-33.92,-43.57,-33.81,-43.23,1.013,1.04,9.648,95.422,117.88,,
2026-03-16T13:14:48,turquoise_orange,"3,4",L_only,25.96,-6,-33.92,-43.55,-33.81,-43.23,1.012,1.038,9.637,49.715,75.257,,-116.22
2026-03-16T13:14:50,turquoise_orange,"3,4",R_only,25.96,-6,-33.92,-43.57,-33.81,-43.23,1.012,1.04,9.654,162.164,139.532,-122.26,
2026-03-16T13:14:52,turquoise_orange,"3,4",both,25.96,-6,-33.92,-43.59,-33.83,-43.27,1.011,1.038,9.67,113.673,133.006,,
2026-03-16T13:14:54,turquoise_orange,"3,4",L_only,33.69,-6,-33.91,-43.56,-33.8,-43.15,1.013,1.049,9.655,108.346,116.797,,-118.64
2026-03-16T13:14:56,turquoise_orange,"3,4",R_only,33.69,-6,-33.91,-43.58,-33.8,-43.23,1.013,1.042,9.671,168.521,74.54,-121.14,
2026-03-16T13:14:58,turquoise_orange,"3,4",both,33.69,-6,-33.91,-43.59,-33.81,-43.27,1.012,1.038,9.676,152.626,58.87,,
2026-03-16T13:15:00,turquoise_orange,"3,4",L_only,43.73,-6,-33.92,-43.55,-33.81,-43.23,1.012,1.038,9.633,140.043,187.401,,-122.56
2026-03-16T13:15:02,turquoise_orange,"3,4",R_only,43.73,-6,-33.91,-43.57,-33.8,-43.27,1.012,1.036,9.663,181.633,130.042,-123.4,
2026-03-16T13:15:04,turquoise_orange,"3,4",both,43.73,-6,-33.91,-43.56,-33.79,-43.23,1.014,1.04,9.654,143.873,81.735,,
