timestamp,device,mode,frequency_hz,amplitude_dbfs,L_rms_dbfs,R_rms_dbfs,L_peak_dbfs,R_peak_dbfs,L_crest,R_crest,balance_db,L_thd_pct,R_thd_pct
2026-03-16T11:08:20,turquoise,L_only,593.05,-6,-13.66,-43.63,-10.11,-43.3,1.506,1.039,29.972,0.014,41.079
2026-03-16T11:08:22,turquoise,R_only,593.05,-6,-33.91,-13.68,-33.79,-10.48,1.015,1.446,-20.232,140.972,0.013
2026-03-16T11:08:24,turquoise,both,593.05,-6,-13.66,-13.68,-10.11,-10.48,1.506,1.446,0.02,0.014,0.013
2026-03-16T11:08:27,turquoise,L_only,769.71,-6,-13.65,-43.58,-10.09,-43.23,1.506,1.042,29.934,0.015,54.312
2026-03-16T11:08:29,turquoise,R_only,769.71,-6,-33.91,-13.66,-33.79,-10.46,1.015,1.446,-20.25,128.837,0.015
2026-03-16T11:08:31,turquoise,both,769.71,-6,-13.65,-13.66,-10.1,-10.46,1.505,1.446,0.016,0.015,0.015
2026-03-16T11:08:33,turquoise,L_only,999.0,-6,-13.67,-43.62,-10.11,-43.27,1.506,1.042,29.954,0.016,36.871
2026-03-16T11:08:35,turquoise,R_only,999.0,-6,-33.91,-13.68,-33.81,-10.47,1.012,1.447,-20.231,50.537,0.016
2026-03-16T11:08:37,turquoise,both,999.0,-6,-13.67,-13.68,-10.11,-10.48,1.506,1.446,0.014,0.016,0.016
2026-03-16T11:08:39,turquoise,L_only,1000.0,-6,-13.67,-43.61,-10.13,-43.27,1.503,1.041,29.944,0.016,59.621
2026-03-16T11:08:41,turquoise,R_only,1000.0,-6,-33.91,-13.68,-33.8,-10.49,1.013,1.444,-20.23,101.065,0.016
2026-03-16T11:08:43,turquoise,both,1000.0,-6,-13.67,-13.68,-10.13,-10.49,1.503,1.444,0.014,0.015,0.015
2026-03-16T11:08:45,turquoise,L_only,1534.13,-6,-13.78,-43.59,-10.22,-43.27,1.507,1.038,29.812,0.016,41.947
2026-03-16T11:08:47,turquoise,R_only,1534.13,-6,-33.91,-13.79,-33.8,-10.59,1.013,1.447,-20.118,86.141,0.016
2026-03-16T11:08:49,turquoise,both,1534.13,-6,-13.78,-13.8,-10.22,-10.59,1.507,1.447,0.013,0.016,0.016
